EXP_ID,DATA_NAME,PATTERN_NAME,PATTERN_ADJ,PATTERN_SIZE,ADJMAT_TYPE,PRUNING_TYPE,PARALLEL_TYPE,CODEGEN_TIME,COMPILE_TIME
-1,wiki,test_debug,011101110,3,Vertex-Induced,CostModel,NestedRt,0.00653212,0.693287
-1,wiki,3v_sparse_0,011101110,3,Vertex-Induced,CostModel,NestedRt,0.00908829,0.97973
-1,wiki,3v_sparse_0,011101110,3,Vertex-Induced,CostModel,NestedRt,0.00790408,0.92314
-1,test,triangle,011101110,3,Vertex-Induced,CostModel,NestedRt,0.00782304,0.880079
-1,test,triangle,011101110,3,Vertex-Induced,CostModel,NestedRt,0.00385692,0.52368
-1,test,triangle,011101110,3,Vertex-Induced,CostModel,NestedRt,0.00275554,0.522778
-1,test,triangle,011101110,3,Vertex-Induced,CostModel,NestedRt,0.00289133,0.525499
-1,test,triangle,011101110,3,Vertex-Induced,CostModel,NestedRt,0.00283887,0.525314
-1,test,triangle,011101110,3,Vertex-Induced,CostModel,NestedRt,0.00286821,0.533812
-1,test,triangle,011101110,3,Vertex-Induced,CostModel,NestedRt,0.002824,0.530582
-1,test,triangle,011101110,3,Vertex-Induced,CostModel,NestedRt,0.00273137,0.525755
-1,test,triangle,011101110,3,Vertex-Induced,CostModel,NestedRt,0.00286821,0.522745
-1,test,triangle,011101110,3,Vertex-Induced,CostModel,NestedRt,0.00289383,0.521346
-1,test,triangle,011101110,3,Vertex-Induced,CostModel,NestedRt,0.00288433,0.522621
-1,test,triangle,011101110,3,Vertex-Induced,CostModel,NestedRt,0.00283583,0.529772
-1,test,triangle,011101110,3,Vertex-Induced,CostModel,NestedRt,0.00290904,0.522519
-1,test,triangle,011101110,3,Vertex-Induced,CostModel,NestedRt,0.002826,0.527465
-1,test,triangle,011101110,3,Vertex-Induced,CostModel,NestedRt,0.00273808,0.520558
-1,test,triangle,011101110,3,Vertex-Induced,CostModel,NestedRt,0.00274496,0.530236
-1,test,triangle,011101110,3,Vertex-Induced,CostModel,NestedRt,0.013164,0.91064
-1,test,4-path,0100101001010010,4,Vertex-Induced,CostModel,NestedRt,0.00382492,0.803932
-1,test,4-cycle,0101101001011010,4,Vertex-Induced,CostModel,NestedRt,0.00503417,0.766467
-1,test,4-star,0111100010001000,4,Vertex-Induced,CostModel,NestedRt,0.00347358,1.19838
-1,test,5-cycle,0100110100010100010110010,5,Vertex-Induced,CostModel,NestedRt,0.0190769,1.10231
-1,test,5-clique,0111110111110111110111110,5,Vertex-Induced,CostModel,NestedRt,0.00835571,1.21831
-1,test,6-complex,011000100110100110011001011001000110,6,Vertex-Induced,CostModel,NestedRt,0.167714,2.37783
-1,test,7-complex,0110010100110010011000110010011000110010010000110,7,Vertex-Induced,CostModel,NestedRt,5.96693,3.4685
-1,test,triangle,011101110,3,Vertex-Induced,CostModel,NestedRt,0.0103782,0.979281
-1,test,4-path,0100101001010010,4,Vertex-Induced,CostModel,NestedRt,0.00479796,1.08035
-1,test,4-cycle,0101101001011010,4,Vertex-Induced,CostModel,NestedRt,0.0100355,1.48112
-1,test,4-star,0111100010001000,4,Vertex-Induced,CostModel,NestedRt,0.00421358,1.32622
-1,test,5-cycle,0100110100010100010110010,5,Vertex-Induced,CostModel,NestedRt,0.020803,1.15581
-1,test,5-clique,0111110111110111110111110,5,Vertex-Induced,CostModel,NestedRt,0.00857529,1.21559
-1,test,6-complex,011000100110100110011001011001000110,6,Vertex-Induced,CostModel,NestedRt,0.169542,2.41218
-1,test,7-complex,0110010100110010011000110010011000110010010000110,7,Vertex-Induced,CostModel,NestedRt,6.75701,4.02356
