Dataset,Category,Query,Vertices,Edges,Threads,LoadTime_s,ExecutionTime_s,Result,Status,Timeout_Used
wiki,small_sparse,query_sparse_8_1,8,11,1,0,0,0,CODEGEN_FAILED,300
wiki,small_sparse,query_sparse_8_1,8,11,2,0,0,0,CODEGEN_FAILED,300
wiki,small_sparse,query_sparse_8_1,8,11,4,0,0,0,CODEGEN_FAILED,300
wiki,small_sparse,query_sparse_8_1,8,11,8,0,0,0,CODEGEN_FAILED,300
wiki,small_sparse,query_sparse_8_10,8,11,1,0,0,0,CODEGEN_FAILED,300
wiki,small_sparse,query_sparse_8_10,8,11,2,0,0,0,CODEGEN_FAILED,300
wiki,small_sparse,query_sparse_8_10,8,11,4,0,0,0,CODEGEN_FAILED,300
wiki,small_sparse,query_sparse_8_10,8,11,8,0,0,0,CODEGEN_FAILED,300
wiki,small_sparse,query_sparse_8_100,8,11,1,0,0,0,CODEGEN_FAILED,300
wiki,small_sparse,query_sparse_8_100,8,11,2,0,0,0,CODEGEN_FAILED,300
wiki,small_sparse,query_sparse_8_100,8,11,4,0,0,0,CODEGEN_FAILED,300
