Dataset,Pruning_Type,Threads,CodeGen_Time,Execution_Time,Result_Count,Throughput,SearchSpace_Reduction
wiki,None,1,FAILED,FAILED,0,0,0
wiki,Static,1,FAILED,FAILED,0,0,0
wiki,Eager,1,FAILED,FAILED,0,0,0
wiki,Online,1,FAILED,FAILED,0,0,0
wiki,CostModel,1,FAILED,FAILED,0,0,0
wiki,None,2,FAILED,FAILED,0,0,0
wiki,Static,2,FAILED,FAILED,0,0,0
wiki,Eager,2,FAILED,FAILED,0,0,0
wiki,Online,2,FAILED,FAILED,0,0,0
wiki,CostModel,2,FAILED,FAILED,0,0,0
wiki,None,4,FAILED,FAILED,0,0,0
wiki,Static,4,FAILED,FAILED,0,0,0
wiki,Eager,4,FAILED,FAILED,0,0,0
wiki,Online,4,FAILED,FAILED,0,0,0
wiki,CostModel,4,FAILED,FAILED,0,0,0
wiki,None,6,FAILED,FAILED,0,0,0
wiki,Static,6,FAILED,FAILED,0,0,0
wiki,Eager,6,FAILED,FAILED,0,0,0
wiki,Online,6,FAILED,FAILED,0,0,0
wiki,CostModel,6,FAILED,FAILED,0,0,0
wiki,None,8,FAILED,FAILED,0,0,0
wiki,Static,8,FAILED,FAILED,0,0,0
wiki,Eager,8,FAILED,FAILED,0,0,0
wiki,Online,8,FAILED,FAILED,0,0,0
wiki,CostModel,8,FAILED,FAILED,0,0,0
wiki,None,12,FAILED,FAILED,0,0,0
wiki,Static,12,FAILED,FAILED,0,0,0
wiki,Eager,12,FAILED,FAILED,0,0,0
wiki,Online,12,FAILED,FAILED,0,0,0
wiki,CostModel,12,FAILED,FAILED,0,0,0
wiki,None,16,FAILED,FAILED,0,0,0
wiki,Static,16,FAILED,FAILED,0,0,0
wiki,Eager,16,FAILED,FAILED,0,0,0
wiki,Online,16,FAILED,FAILED,0,0,0
wiki,CostModel,16,FAILED,FAILED,0,0,0
enron,None,1,FAILED,FAILED,0,0,0
enron,Static,1,FAILED,FAILED,0,0,0
enron,Eager,1,FAILED,FAILED,0,0,0
enron,Online,1,FAILED,FAILED,0,0,0
enron,CostModel,1,FAILED,FAILED,0,0,0
enron,None,2,FAILED,FAILED,0,0,0
enron,Static,2,FAILED,FAILED,0,0,0
enron,Eager,2,FAILED,FAILED,0,0,0
enron,Online,2,FAILED,FAILED,0,0,0
enron,CostModel,2,FAILED,FAILED,0,0,0
enron,None,4,FAILED,FAILED,0,0,0
enron,Static,4,FAILED,FAILED,0,0,0
enron,Eager,4,FAILED,FAILED,0,0,0
enron,Online,4,FAILED,FAILED,0,0,0
enron,CostModel,4,FAILED,FAILED,0,0,0
enron,None,6,FAILED,FAILED,0,0,0
enron,Static,6,FAILED,FAILED,0,0,0
enron,Eager,6,FAILED,FAILED,0,0,0
enron,Online,6,FAILED,FAILED,0,0,0
enron,CostModel,6,FAILED,FAILED,0,0,0
enron,None,8,FAILED,FAILED,0,0,0
enron,Static,8,FAILED,FAILED,0,0,0
enron,Eager,8,FAILED,FAILED,0,0,0
enron,Online,8,FAILED,FAILED,0,0,0
enron,CostModel,8,FAILED,FAILED,0,0,0
enron,None,12,FAILED,FAILED,0,0,0
enron,Static,12,FAILED,FAILED,0,0,0
enron,Eager,12,FAILED,FAILED,0,0,0
enron,Online,12,FAILED,FAILED,0,0,0
enron,CostModel,12,FAILED,FAILED,0,0,0
enron,None,16,FAILED,FAILED,0,0,0
enron,Static,16,FAILED,FAILED,0,0,0
enron,Eager,16,FAILED,FAILED,0,0,0
enron,Online,16,FAILED,FAILED,0,0,0
enron,CostModel,16,FAILED,FAILED,0,0,0
