Dataset,Pattern_Type,Pattern_Name,Vertices,Edges,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_MB,Speedup,Efficiency,Status,Notes
roadNet-CA,Patterns,small_dense_4v_1,4,3,1,N/A,N/A,N/A,.8,N/A,N/A,FAILED,Execution failed
roadNet-CA,Patterns,small_dense_4v_1,4,3,4,N/A,N/A,N/A,.8,N/A,N/A,FAILED,Execution failed
roadNet-CA,Patterns,small_dense_4v_1,4,3,16,N/A,N/A,N/A,.8,N/A,N/A,FAILED,Execution failed
roadNet-CA,Patterns,small_dense_4v_1,4,3,32,N/A,N/A,N/A,.9,N/A,N/A,FAILED,Execution failed
roadNet-CA,Patterns,small_dense_4v_1,4,3,64,N/A,N/A,N/A,.8,N/A,N/A,FAILED,Execution failed
roadNet-CA,Patterns,small_sparse_4v_1,4,3,1,N/A,N/A,N/A,.8,N/A,N/A,FAILED,Execution failed
roadNet-CA,Patterns,small_sparse_4v_1,4,3,4,N/A,N/A,N/A,.8,N/A,N/A,FAILED,Execution failed
roadNet-CA,Patterns,small_sparse_4v_1,4,3,16,N/A,N/A,N/A,.9,N/A,N/A,FAILED,Execution failed
roadNet-CA,Patterns,small_sparse_4v_1,4,3,32,N/A,N/A,N/A,.8,N/A,N/A,FAILED,Execution failed
roadNet-CA,Patterns,small_sparse_4v_1,4,3,64,N/A,N/A,N/A,.8,N/A,N/A,FAILED,Execution failed
roadNet-CA,Patterns,small_dense_8v_1,8,10,1,N/A,N/A,N/A,.9,N/A,N/A,FAILED,Execution failed
roadNet-CA,Patterns,small_dense_8v_1,8,10,4,N/A,N/A,N/A,.8,N/A,N/A,FAILED,Execution failed
roadNet-CA,Patterns,small_dense_8v_1,8,10,16,N/A,N/A,N/A,.8,N/A,N/A,FAILED,Execution failed
roadNet-CA,Patterns,small_sparse_8v_1,8,9,1,N/A,N/A,N/A,.9,N/A,N/A,FAILED,Execution failed
roadNet-CA,Patterns,small_sparse_8v_1,8,9,4,N/A,N/A,N/A,.9,N/A,N/A,FAILED,Execution failed
roadNet-CA,Patterns,small_sparse_8v_1,8,9,16,N/A,N/A,N/A,.9,N/A,N/A,FAILED,Execution failed
