youtube,Patterns,small_dense_4v_1,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_EXEC,Execution timeout (300s)
youtube,Patterns,small_dense_4v_1,4,3,4,0.0396127,1.12158,4986965,54.8,N/A,N/A,SUCCESS,GraphMini-O pattern worked!
youtube,Patterns,small_dense_4v_1,4,3,16,N/A,N/A,N/A,.9,N/A,N/A,FAILED,Execution failed
youtube,Patterns,small_dense_4v_1,4,3,32,N/A,N/A,N/A,.8,N/A,N/A,FAILED,Execution failed
youtube,Patterns,small_dense_4v_1,4,3,64,N/A,N/A,N/A,.8,N/A,N/A,FAILED,Execution failed
youtube,Patterns,small_sparse_4v_1,4,3,1,N/A,N/A,N/A,.8,N/A,N/A,FAILED,Execution failed
youtube,Patterns,small_sparse_4v_1,4,3,4,N/A,N/A,N/A,.9,N/A,N/A,FAILED,Execution failed
youtube,Patterns,small_sparse_4v_1,4,3,16,N/A,N/A,N/A,.8,N/A,N/A,FAILED,Execution failed
youtube,Patterns,small_sparse_4v_1,4,3,32,N/A,N/A,N/A,.8,N/A,N/A,FAILED,Execution failed
youtube,Patterns,small_sparse_4v_1,4,3,64,N/A,N/A,N/A,.8,N/A,N/A,FAILED,Execution failed
youtube,Patterns,small_dense_8v_1,8,7,1,N/A,N/A,N/A,.8,N/A,N/A,FAILED,Execution failed
youtube,Patterns,small_dense_8v_1,8,7,4,N/A,N/A,N/A,.8,N/A,N/A,FAILED,Execution failed
youtube,Patterns,small_dense_8v_1,8,7,16,N/A,N/A,N/A,.8,N/A,N/A,FAILED,Execution failed
youtube,Patterns,small_sparse_8v_1,8,7,1,N/A,N/A,N/A,1.0,N/A,N/A,FAILED,Execution failed
youtube,Patterns,small_sparse_8v_1,8,7,4,N/A,N/A,N/A,.8,N/A,N/A,FAILED,Execution failed
youtube,Patterns,small_sparse_8v_1,8,7,16,N/A,N/A,N/A,.8,N/A,N/A,FAILED,Execution failed
