Dataset,Pattern_Type,Pattern_Name,Vertices,Edges,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_MB,Speedup,Efficiency,Status,Notes
dblp,Patterns,small_dense_4v_1,4,4,1,0.0199901,4.33007,96615211,20.9,1.00,100.0,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_4v_1,4,4,4,0.016948,1.28926,96615211,21.3,3.35,83.7,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_4v_1,4,4,16,0.0192767,0.357683,96615211,22.5,12.10,75.6,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_4v_1,4,4,32,0.0191857,0.198146,96615211,27.6,21.85,68.2,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_4v_1,4,4,64,0.019634,0.137277,96615211,27.4,31.54,49.2,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_sparse_4v_1,4,3,1,0.0202363,4.91801,252447350,20.8,1.00,100.0,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_sparse_4v_1,4,3,4,0.0192631,1.33709,252447350,21.0,3.67,91.7,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_sparse_4v_1,4,3,16,0.0196864,0.384727,252447350,21.7,12.78,79.8,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_sparse_4v_1,4,3,32,0.0196647,0.207706,252447350,22.5,23.67,73.9,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_sparse_4v_1,4,3,64,0.018593,0.145342,252447350,24.6,33.83,52.8,SUCCESS,GraphMini-O  pattern worked!
dblp,Patterns,small_dense_8v_1,8,9,1,N/A,N/A,N/A,N/A,N/A,N/A,CODEGEN_FAILED,Code generation crashed with exit code 134
dblp,Patterns,small_sparse_8v_1,8,15,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
youtube,Patterns,small_dense_4v_1,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
