Dataset,Pattern_Type,Pattern_Name,Vertices,Edges,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_MB,Speedup,Efficiency,Status,Notes
youtube,Patterns,small_dense_4v_1,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
youtube,Patterns,small_dense_4v_2,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
youtube,Patterns,small_dense_4v_3,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
youtube,Patterns,small_dense_4v_4,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
youtube,Patterns,small_dense_4v_5,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
youtube,Patterns,small_dense_4v_6,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
youtube,Patterns,small_dense_4v_7,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
youtube,Patterns,small_dense_4v_8,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
youtube,Patterns,small_dense_4v_9,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
youtube,Patterns,small_dense_4v_10,4,4,1,0.0398,147.248,12371157628,58.1,1.00,100.0,SUCCESS,GraphMini-O pattern worked!
youtube,Patterns,small_dense_4v_10,4,4,4,0.0382351,42.563,12371157628,64.7,3.45,86.2,SUCCESS,GraphMini-O pattern worked!
youtube,Patterns,small_dense_4v_10,4,4,16,0.0388597,13.7315,12371157628,73.9,10.72,67.0,SUCCESS,GraphMini-O pattern worked!
youtube,Patterns,small_dense_4v_10,4,4,32,0.0259869,10.8492,12371157628,82.0,13.57,42.4,SUCCESS,GraphMini-O pattern worked!
youtube,Patterns,small_dense_4v_10,4,4,64,0.0358602,7.22361,12371157628,97.2,20.38,31.8,SUCCESS,GraphMini-O pattern worked!
youtube,Patterns,small_dense_4v_11,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
youtube,Patterns,small_dense_4v_12,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
youtube,Patterns,small_dense_4v_13,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
youtube,Patterns,small_dense_4v_14,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
youtube,Patterns,small_dense_4v_15,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
youtube,Patterns,small_dense_4v_16,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
youtube,Patterns,small_dense_4v_17,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
youtube,Patterns,small_dense_4v_18,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
