Dataset,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,VertexMem_Bytes,MiniGraphMem_Bytes,Speedup,Efficiency
wiki,triangle,3,1,FAILED,FAILED,0,0,0,0,0,0
wiki,triangle,3,2,FAILED,FAILED,0,0,0,0,0,0
wiki,triangle,3,4,FAILED,FAILED,0,0,0,0,0,0
wiki,triangle,3,8,FAILED,FAILED,0,0,0,0,0,0
wiki,triangle,3,16,FAILED,FAILED,0,0,0,0,0,0
wiki,P1,4,1,FAILED,FAILED,0,0,0,0,0,0
wiki,P1,4,2,FAILED,FAILED,0,0,0,0,0,0
wiki,P1,4,4,FAILED,FAILED,0,0,0,0,0,0
wiki,P1,4,8,FAILED,FAILED,0,0,0,0,0,0
wiki,P1,4,16,FAILED,FAILED,0,0,0,0,0,0
wiki,P2,5,1,FAILED,FAILED,0,0,0,0,0,0
wiki,P2,5,2,FAILED,FAILED,0,0,0,0,0,0
wiki,P2,5,4,FAILED,FAILED,0,0,0,0,0,0
wiki,P2,5,8,FAILED,FAILED,0,0,0,0,0,0
wiki,P2,5,16,FAILED,FAILED,0,0,0,0,0,0
wiki,P3,5,1,FAILED,FAILED,0,0,0,0,0,0
wiki,P3,5,2,FAILED,FAILED,0,0,0,0,0,0
wiki,P3,5,4,FAILED,FAILED,0,0,0,0,0,0
wiki,P3,5,8,FAILED,FAILED,0,0,0,0,0,0
wiki,P3,5,16,FAILED,FAILED,0,0,0,0,0,0
wiki,P4,5,1,FAILED,FAILED,0,0,0,0,0,0
wiki,P4,5,2,FAILED,FAILED,0,0,0,0,0,0
wiki,P4,5,4,FAILED,FAILED,0,0,0,0,0,0
wiki,P4,5,8,FAILED,FAILED,0,0,0,0,0,0
wiki,P4,5,16,FAILED,FAILED,0,0,0,0,0,0
wiki,P5,6,1,FAILED,FAILED,0,0,0,0,0,0
wiki,P5,6,2,FAILED,FAILED,0,0,0,0,0,0
wiki,P5,6,4,FAILED,FAILED,0,0,0,0,0,0
wiki,P5,6,8,FAILED,FAILED,0,0,0,0,0,0
wiki,P5,6,16,FAILED,FAILED,0,0,0,0,0,0
wiki,P6,6,1,FAILED,FAILED,0,0,0,0,0,0
wiki,P6,6,2,FAILED,FAILED,0,0,0,0,0,0
wiki,P6,6,4,FAILED,FAILED,0,0,0,0,0,0
wiki,P6,6,8,FAILED,FAILED,0,0,0,0,0,0
wiki,P6,6,16,FAILED,FAILED,0,0,0,0,0,0
wiki,P7,6,1,FAILED,FAILED,0,0,0,0,0,0
wiki,P7,6,2,FAILED,FAILED,0,0,0,0,0,0
wiki,P7,6,4,FAILED,FAILED,0,0,0,0,0,0
wiki,P7,6,8,FAILED,FAILED,0,0,0,0,0,0
wiki,P7,6,16,FAILED,FAILED,0,0,0,0,0,0
enron,triangle,3,1,FAILED,FAILED,0,0,0,0,0,0
enron,triangle,3,2,FAILED,FAILED,0,0,0,0,0,0
enron,triangle,3,4,FAILED,FAILED,0,0,0,0,0,0
enron,triangle,3,8,FAILED,FAILED,0,0,0,0,0,0
enron,triangle,3,16,FAILED,FAILED,0,0,0,0,0,0
enron,P1,4,1,FAILED,FAILED,0,0,0,0,0,0
enron,P1,4,2,FAILED,FAILED,0,0,0,0,0,0
enron,P1,4,4,FAILED,FAILED,0,0,0,0,0,0
enron,P1,4,8,FAILED,FAILED,0,0,0,0,0,0
enron,P1,4,16,FAILED,FAILED,0,0,0,0,0,0
enron,P2,5,1,FAILED,FAILED,0,0,0,0,0,0
enron,P2,5,2,FAILED,FAILED,0,0,0,0,0,0
enron,P2,5,4,FAILED,FAILED,0,0,0,0,0,0
enron,P2,5,8,FAILED,FAILED,0,0,0,0,0,0
enron,P2,5,16,FAILED,FAILED,0,0,0,0,0,0
enron,P3,5,1,FAILED,FAILED,0,0,0,0,0,0
enron,P3,5,2,FAILED,FAILED,0,0,0,0,0,0
enron,P3,5,4,FAILED,FAILED,0,0,0,0,0,0
enron,P3,5,8,FAILED,FAILED,0,0,0,0,0,0
enron,P3,5,16,FAILED,FAILED,0,0,0,0,0,0
enron,P4,5,1,FAILED,FAILED,0,0,0,0,0,0
enron,P4,5,2,FAILED,FAILED,0,0,0,0,0,0
enron,P4,5,4,FAILED,FAILED,0,0,0,0,0,0
enron,P4,5,8,FAILED,FAILED,0,0,0,0,0,0
enron,P4,5,16,FAILED,FAILED,0,0,0,0,0,0
enron,P5,6,1,FAILED,FAILED,0,0,0,0,0,0
enron,P5,6,2,FAILED,FAILED,0,0,0,0,0,0
enron,P5,6,4,FAILED,FAILED,0,0,0,0,0,0
enron,P5,6,8,FAILED,FAILED,0,0,0,0,0,0
enron,P5,6,16,FAILED,FAILED,0,0,0,0,0,0
enron,P6,6,1,FAILED,FAILED,0,0,0,0,0,0
enron,P6,6,2,FAILED,FAILED,0,0,0,0,0,0
enron,P6,6,4,FAILED,FAILED,0,0,0,0,0,0
enron,P6,6,8,FAILED,FAILED,0,0,0,0,0,0
enron,P6,6,16,FAILED,FAILED,0,0,0,0,0,0
enron,P7,6,1,FAILED,FAILED,0,0,0,0,0,0
enron,P7,6,2,FAILED,FAILED,0,0,0,0,0,0
enron,P7,6,4,FAILED,FAILED,0,0,0,0,0,0
enron,P7,6,8,FAILED,FAILED,0,0,0,0,0,0
enron,P7,6,16,FAILED,FAILED,0,0,0,0,0,0
dblp,triangle,3,1,FAILED,FAILED,0,0,0,0,0,0
dblp,triangle,3,2,FAILED,FAILED,0,0,0,0,0,0
dblp,triangle,3,4,FAILED,FAILED,0,0,0,0,0,0
dblp,triangle,3,8,FAILED,FAILED,0,0,0,0,0,0
dblp,triangle,3,16,FAILED,FAILED,0,0,0,0,0,0
dblp,P1,4,1,FAILED,FAILED,0,0,0,0,0,0
dblp,P1,4,2,FAILED,FAILED,0,0,0,0,0,0
dblp,P1,4,4,FAILED,FAILED,0,0,0,0,0,0
dblp,P1,4,8,FAILED,FAILED,0,0,0,0,0,0
dblp,P1,4,16,FAILED,FAILED,0,0,0,0,0,0
dblp,P2,5,1,FAILED,FAILED,0,0,0,0,0,0
dblp,P2,5,2,FAILED,FAILED,0,0,0,0,0,0
dblp,P2,5,4,FAILED,FAILED,0,0,0,0,0,0
dblp,P2,5,8,FAILED,FAILED,0,0,0,0,0,0
dblp,P2,5,16,FAILED,FAILED,0,0,0,0,0,0
dblp,P3,5,1,FAILED,FAILED,0,0,0,0,0,0
dblp,P3,5,2,FAILED,FAILED,0,0,0,0,0,0
dblp,P3,5,4,FAILED,FAILED,0,0,0,0,0,0
dblp,P3,5,8,FAILED,FAILED,0,0,0,0,0,0
dblp,P3,5,16,FAILED,FAILED,0,0,0,0,0,0
dblp,P4,5,1,FAILED,FAILED,0,0,0,0,0,0
dblp,P4,5,2,FAILED,FAILED,0,0,0,0,0,0
dblp,P4,5,4,FAILED,FAILED,0,0,0,0,0,0
dblp,P4,5,8,FAILED,FAILED,0,0,0,0,0,0
dblp,P4,5,16,FAILED,FAILED,0,0,0,0,0,0
dblp,P5,6,1,FAILED,FAILED,0,0,0,0,0,0
dblp,P5,6,2,FAILED,FAILED,0,0,0,0,0,0
dblp,P5,6,4,FAILED,FAILED,0,0,0,0,0,0
dblp,P5,6,8,FAILED,FAILED,0,0,0,0,0,0
dblp,P5,6,16,FAILED,FAILED,0,0,0,0,0,0
dblp,P6,6,1,FAILED,FAILED,0,0,0,0,0,0
dblp,P6,6,2,FAILED,FAILED,0,0,0,0,0,0
dblp,P6,6,4,FAILED,FAILED,0,0,0,0,0,0
dblp,P6,6,8,FAILED,FAILED,0,0,0,0,0,0
dblp,P6,6,16,FAILED,FAILED,0,0,0,0,0,0
dblp,P7,6,1,FAILED,FAILED,0,0,0,0,0,0
dblp,P7,6,2,FAILED,FAILED,0,0,0,0,0,0
dblp,P7,6,4,FAILED,FAILED,0,0,0,0,0,0
dblp,P7,6,8,FAILED,FAILED,0,0,0,0,0,0
dblp,P7,6,16,FAILED,FAILED,0,0,0,0,0,0
