Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency
wiki,317K_nodes_1M_edges,triangle,3,1,0.00324258,0.0199695,608389,3.04658e+07,4240,1.00,100.0
wiki,317K_nodes_1M_edges,triangle,3,2,0.00055925,0.0196124,608389,3.10206e+07,4224,1.01,50.0
wiki,317K_nodes_1M_edges,triangle,3,4,0.000590333,0.0212158,608389,2.86762e+07,4192,.94,20.0
wiki,317K_nodes_1M_edges,triangle,3,8,0.000615625,0.0205905,608389,2.95471e+07,4192,.96,10.0
wiki,317K_nodes_1M_edges,triangle,3,16,0.000593083,0.0209342,608389,2.9062e+07,4192,.95,0
wiki,317K_nodes_1M_edges,4path,4,1,0.000841958,0.0205654,608389,2.95831e+07,4400,1.00,100.0
wiki,317K_nodes_1M_edges,4path,4,2,0.000647,0.0205213,608389,2.96467e+07,4240,1.00,50.0
wiki,317K_nodes_1M_edges,4path,4,4,0.000816708,0.0224135,608389,2.71438e+07,4224,.91,20.0
wiki,317K_nodes_1M_edges,4path,4,8,0.001169,0.0251798,608389,2.41618e+07,4240,.81,10.0
wiki,317K_nodes_1M_edges,4path,4,16,0.000897375,0.0278915,608389,2.18127e+07,4224,.73,0
wiki,317K_nodes_1M_edges,4cycle,4,1,0.000681625,0.0245357,608389,2.47961e+07,4240,1.00,100.0
wiki,317K_nodes_1M_edges,4cycle,4,2,0.000859709,0.0245945,608389,2.47368e+07,4288,.99,40.0
wiki,317K_nodes_1M_edges,4cycle,4,4,0.00087275,0.0239034,608389,2.5452e+07,4192,1.02,20.0
wiki,317K_nodes_1M_edges,4cycle,4,8,0.000833917,0.0239727,608389,2.53784e+07,4256,1.02,10.0
wiki,317K_nodes_1M_edges,4cycle,4,16,0.0010455,0.0234139,608389,2.59841e+07,4288,1.04,0
wiki,317K_nodes_1M_edges,4star,4,1,0.000838333,0.0270093,608389,2.25252e+07,4304,1.00,100.0
wiki,317K_nodes_1M_edges,4star,4,2,0.000742916,0.0242486,608389,2.50896e+07,4272,1.11,50.0
wiki,317K_nodes_1M_edges,4star,4,4,0.000863583,0.0245655,608389,2.4766e+07,4208,1.09,20.0
wiki,317K_nodes_1M_edges,4star,4,8,0.00084775,0.0236412,608389,2.57343e+07,4224,1.14,10.0
wiki,317K_nodes_1M_edges,4star,4,16,0.000953333,0.0331493,608389,1.8353e+07,4208,.81,0
wiki,317K_nodes_1M_edges,4clique,4,1,0.00193312,0.0606386,608389,1.0033e+07,4496,1.00,100.0
wiki,317K_nodes_1M_edges,4clique,4,2,0.00134938,0.149326,608389,4.07425e+06,4272,.40,20.0
wiki,317K_nodes_1M_edges,4clique,4,4,0.0009035,0.107235,608389,5.67342e+06,4208,.56,10.0
wiki,317K_nodes_1M_edges,4clique,4,8,0.00110413,0.136675,608389,4.45135e+06,4176,.44,0
wiki,317K_nodes_1M_edges,4clique,4,16,0.0246628,0.0490807,608389,1.23957e+07,4208,1.23,0
wiki,317K_nodes_1M_edges,5clique,5,1,0.00094275,0.0559001,608389,1.08835e+07,4240,1.00,100.0
wiki,317K_nodes_1M_edges,5clique,5,2,0.000883375,0.0352781,608389,1.72455e+07,4192,1.58,70.0
wiki,317K_nodes_1M_edges,5clique,5,4,0.00107575,0.0523034,608389,1.16319e+07,4304,1.06,20.0
wiki,317K_nodes_1M_edges,5clique,5,8,0.000934125,0.0473262,608389,1.28552e+07,4288,1.18,10.0
wiki,317K_nodes_1M_edges,5clique,5,16,0.000851375,0.0475137,608389,1.28045e+07,4224,1.17,0
wiki,317K_nodes_1M_edges,house,4,1,0.000995542,0.0424072,608389,1.43464e+07,4224,1.00,100.0
wiki,317K_nodes_1M_edges,house,4,2,0.00098075,0.0399565,608389,1.52263e+07,4224,1.06,50.0
wiki,317K_nodes_1M_edges,house,4,4,0.00124892,0.038263,608389,1.59002e+07,4256,1.10,20.0
wiki,317K_nodes_1M_edges,house,4,8,0.00133138,0.0376892,608389,1.61423e+07,4208,1.12,10.0
wiki,317K_nodes_1M_edges,house,4,16,0.00213904,0.0395367,608389,1.5388e+07,4432,1.07,0
wiki,317K_nodes_1M_edges,diamond,4,1,0.00101392,0.0338327,608389,1.79823e+07,4352,1.00,100.0
wiki,317K_nodes_1M_edges,diamond,4,2,0.000946042,0.051653,608389,1.17784e+07,4304,.65,30.0
wiki,317K_nodes_1M_edges,diamond,4,4,0.0316569,0.0362862,608389,1.67664e+07,4528,.93,20.0
wiki,317K_nodes_1M_edges,diamond,4,8,0.000889292,0.0277126,608389,2.19535e+07,4224,1.22,10.0
wiki,317K_nodes_1M_edges,diamond,4,16,0.000993583,0.0328633,608389,1.85127e+07,4240,1.02,0
enron,317K_nodes_1M_edges,triangle,3,1,0.0110155,0.0225944,727044,3.2178e+07,5632,1.00,100.0
enron,317K_nodes_1M_edges,triangle,3,2,0.00574046,0.0534831,727044,1.35939e+07,5760,.42,20.0
enron,317K_nodes_1M_edges,triangle,3,4,0.00166992,0.0564766,727044,1.28734e+07,5648,.40,10.0
enron,317K_nodes_1M_edges,triangle,3,8,0.00165267,0.0542357,727044,1.34053e+07,5488,.41,0
enron,317K_nodes_1M_edges,triangle,3,16,0.00208321,0.0298335,727044,2.437e+07,5552,.75,0
enron,317K_nodes_1M_edges,4path,4,1,0.00205146,0.0824134,727044,8.82192e+06,5808,1.00,100.0
enron,317K_nodes_1M_edges,4path,4,2,0.00183942,0.0469364,727044,1.549e+07,5728,1.75,80.0
enron,317K_nodes_1M_edges,4path,4,4,0.00204937,0.0474816,727044,1.53121e+07,5648,1.73,40.0
enron,317K_nodes_1M_edges,4path,4,8,0.00177908,0.0360545,727044,2.01652e+07,5616,2.28,20.0
enron,317K_nodes_1M_edges,4path,4,16,0.00207938,0.0355925,727044,2.04269e+07,5520,2.31,10.0
enron,317K_nodes_1M_edges,4cycle,4,1,0.00202779,0.0349275,727044,2.08158e+07,5488,1.00,100.0
enron,317K_nodes_1M_edges,4cycle,4,2,0.00753796,0.0442842,727044,1.64177e+07,5520,.78,30.0
enron,317K_nodes_1M_edges,4cycle,4,4,0.0105148,0.0534295,727044,1.36075e+07,5552,.65,10.0
enron,317K_nodes_1M_edges,4cycle,4,8,0.00506604,0.0371935,727044,1.95476e+07,5712,.93,10.0
enron,317K_nodes_1M_edges,4cycle,4,16,0.00211746,0.0329952,727044,2.20348e+07,5584,1.05,0
enron,317K_nodes_1M_edges,4star,4,1,0.00217471,0.0279231,727044,2.60373e+07,5504,1.00,100.0
enron,317K_nodes_1M_edges,4star,4,2,0.00221479,0.0256402,727044,2.83556e+07,5776,1.08,50.0
