Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency,Baseline_s,Notes
wiki,7K_nodes_100K_edges,triangle,3,1,0.00317367,0.0201613,608389,3.0176e+07,4272.0,1.000,100.00,0.0201613,baseline
wiki,7K_nodes_100K_edges,triangle,3,2,0.000541875,0.0198378,608389,3.06682e+07,4224.0,1.0163,50.800,0.0201613,calculated
wiki,7K_nodes_100K_edges,triangle,3,4,0.000620959,0.0212521,608389,2.86272e+07,4272.0,.9486,23.700,0.0201613,calculated
wiki,7K_nodes_100K_edges,triangle,3,8,0.000550792,0.0211072,608389,2.88238e+07,4224.0,.9551,11.900,0.0201613,calculated
wiki,7K_nodes_100K_edges,triangle,3,16,0.000523916,0.0200668,608389,3.03182e+07,4208.0,1.0047,6.200,0.0201613,calculated
wiki,7K_nodes_100K_edges,4path,4,1,0.000540916,0.0214879,608389,2.83131e+07,4192.0,1.000,100.00,0.0214879,baseline
wiki,7K_nodes_100K_edges,4path,4,2,0.000580209,0.0252055,608389,2.41371e+07,4176.0,.8525,42.600,0.0214879,calculated
wiki,7K_nodes_100K_edges,4path,4,4,0.000537791,0.0197079,608389,3.08703e+07,4192.0,1.0903,27.200,0.0214879,calculated
wiki,7K_nodes_100K_edges,4path,4,8,FAILED,FAILED,0,0,0,FAILED,FAILED,0.0214879,test_failed
wiki,7K_nodes_100K_edges,4path,4,16,0.000652417,0.0354742,608389,1.71502e+07,4240.0,.6057,3.700,0.0214879,calculated
wiki,7K_nodes_100K_edges,4cycle,4,1,0.000554,0.0232347,608389,2.61845e+07,4256.0,1.000,100.00,0.0232347,baseline
wiki,7K_nodes_100K_edges,4cycle,4,2,0.000880208,0.0217621,608389,2.79563e+07,4304.0,1.0676,53.300,0.0232347,calculated
wiki,7K_nodes_100K_edges,4cycle,4,4,0.000574542,0.0250441,608389,2.42927e+07,4208.0,.9277,23.100,0.0232347,calculated
wiki,7K_nodes_100K_edges,4cycle,4,8,0.000597958,0.0276541,608389,2.2e+07,4272.0,.8401,10.500,0.0232347,calculated
wiki,7K_nodes_100K_edges,4cycle,4,16,0.000538625,0.0236673,608389,2.57059e+07,4208.0,.9817,6.100,0.0232347,calculated
wiki,7K_nodes_100K_edges,4star,4,1,0.00073625,0.0219493,608389,2.77179e+07,4368.0,1.000,100.00,0.0219493,baseline
wiki,7K_nodes_100K_edges,4star,4,2,0.0005195,0.0222909,608389,2.72932e+07,4176.0,.9846,49.200,0.0219493,calculated
wiki,7K_nodes_100K_edges,4star,4,4,0.000644875,0.0222002,608389,2.74047e+07,4224.0,.9886,24.700,0.0219493,calculated
wiki,7K_nodes_100K_edges,4star,4,8,0.000546708,0.021589,608389,2.81805e+07,4240.0,1.0166,12.700,0.0219493,calculated
wiki,7K_nodes_100K_edges,4star,4,16,0.000533166,0.0201915,608389,3.0131e+07,4160.0,1.0870,6.700,0.0219493,calculated
wiki,7K_nodes_100K_edges,4clique,4,1,0.000542166,0.0252133,608389,2.41297e+07,4208.0,1.000,100.00,0.0252133,baseline
wiki,7K_nodes_100K_edges,4clique,4,2,0.000544166,0.02876,608389,2.1154e+07,4192.0,.8766,43.800,0.0252133,calculated
wiki,7K_nodes_100K_edges,4clique,4,4,0.000528625,0.0213531,608389,2.84918e+07,4160.0,1.1807,29.500,0.0252133,calculated
wiki,7K_nodes_100K_edges,4clique,4,8,0.000543959,0.0301331,608389,2.019e+07,4224.0,.8367,10.400,0.0252133,calculated
wiki,7K_nodes_100K_edges,4clique,4,16,0.000561709,0.0208647,608389,2.91588e+07,4192.0,1.2084,7.500,0.0252133,calculated
wiki,7K_nodes_100K_edges,5clique,5,1,0.00087175,0.0202566,608389,3.00341e+07,4336.0,1.000,100.00,0.0202566,baseline
wiki,7K_nodes_100K_edges,5clique,5,2,0.000540917,0.0199437,608389,3.05054e+07,4208.0,1.0156,50.700,0.0202566,calculated
wiki,7K_nodes_100K_edges,5clique,5,4,0.000550667,0.0248706,608389,2.44622e+07,4208.0,.8144,20.300,0.0202566,calculated
wiki,7K_nodes_100K_edges,5clique,5,8,0.000740333,0.0270415,608389,2.24983e+07,4224.0,.7490,9.300,0.0202566,calculated
wiki,7K_nodes_100K_edges,5clique,5,16,0.00102446,0.024882,608389,2.4451e+07,4336.0,.8141,5.000,0.0202566,calculated
wiki,7K_nodes_100K_edges,house,4,1,0.00181512,0.0209891,608389,2.8986e+07,4400.0,1.000,100.00,0.0209891,baseline
wiki,7K_nodes_100K_edges,house,4,2,0.00051175,0.020397,608389,2.98273e+07,4224.0,1.0290,51.400,0.0209891,calculated
wiki,7K_nodes_100K_edges,house,4,4,FAILED,FAILED,0,0,0,FAILED,FAILED,0.0209891,test_failed
wiki,7K_nodes_100K_edges,house,4,8,0.000526292,0.0613158,608389,9.92222e+06,4208.0,.3423,4.200,0.0209891,calculated
wiki,7K_nodes_100K_edges,house,4,16,0.000831292,0.0224091,608389,2.71492e+07,4224.0,.9366,5.800,0.0209891,calculated
wiki,7K_nodes_100K_edges,diamond,4,1,0.000554417,0.0207825,608389,2.92742e+07,4224.0,1.000,100.00,0.0207825,baseline
wiki,7K_nodes_100K_edges,diamond,4,2,0.00051925,0.0207994,608389,2.92503e+07,4240.0,.9991,49.900,0.0207825,calculated
wiki,7K_nodes_100K_edges,diamond,4,4,0.000543792,0.0204121,608389,2.98053e+07,4208.0,1.0181,25.400,0.0207825,calculated
wiki,7K_nodes_100K_edges,diamond,4,8,0.000584792,0.028081,608389,2.16655e+07,4240.0,.7400,9.200,0.0207825,calculated
wiki,7K_nodes_100K_edges,diamond,4,16,0.000548417,0.020873,608389,2.91472e+07,4272.0,.9956,6.200,0.0207825,calculated
enron,37K_nodes_184K_edges,triangle,3,1,0.00713946,0.0175951,727044,4.13208e+07,5664.0,1.000,100.00,0.0175951,baseline
enron,37K_nodes_184K_edges,triangle,3,2,0.00116917,0.0179251,727044,4.05601e+07,5552.0,.9815,49.000,0.0175951,calculated
enron,37K_nodes_184K_edges,triangle,3,4,0.00100208,0.0184722,727044,3.93587e+07,5488.0,.9525,23.800,0.0175951,calculated
enron,37K_nodes_184K_edges,triangle,3,8,0.00103408,0.0188807,727044,3.85072e+07,5536.0,.9319,11.600,0.0175951,calculated
enron,37K_nodes_184K_edges,triangle,3,16,0.00101929,0.0178885,727044,4.0643e+07,5504.0,.9835,6.100,0.0175951,calculated
enron,37K_nodes_184K_edges,4path,4,1,0.00108204,0.0180574,727044,4.02629e+07,5536.0,1.000,100.00,0.0180574,baseline
enron,37K_nodes_184K_edges,4path,4,2,0.00113437,0.018687,727044,3.89063e+07,5536.0,.9663,48.300,0.0180574,calculated
enron,37K_nodes_184K_edges,4path,4,4,0.000997917,0.0177861,727044,4.0877e+07,5520.0,1.0152,25.300,0.0180574,calculated
enron,37K_nodes_184K_edges,4path,4,8,0.000997042,0.0178597,727044,4.07086e+07,5472.0,1.0110,12.600,0.0180574,calculated
enron,37K_nodes_184K_edges,4path,4,16,0.00101954,0.017851,727044,4.07285e+07,5536.0,1.0115,6.300,0.0180574,calculated
enron,37K_nodes_184K_edges,4cycle,4,1,0.00140337,0.0182784,727044,3.97761e+07,5760.0,1.000,100.00,0.0182784,baseline
enron,37K_nodes_184K_edges,4cycle,4,2,0.00105979,0.0182432,727044,3.98529e+07,5552.0,1.0019,50.000,0.0182784,calculated
enron,37K_nodes_184K_edges,4cycle,4,4,0.00111504,0.017681,727044,4.11202e+07,5568.0,1.0337,25.800,0.0182784,calculated
enron,37K_nodes_184K_edges,4cycle,4,8,0.00103612,0.0200359,727044,3.6287e+07,5536.0,.9122,11.400,0.0182784,calculated
enron,37K_nodes_184K_edges,4cycle,4,16,0.00100696,0.0187781,727044,3.87176e+07,5520.0,.9733,6.000,0.0182784,calculated
enron,37K_nodes_184K_edges,4star,4,1,0.00108979,0.0176227,727044,4.12561e+07,5504.0,1.000,100.00,0.0176227,baseline
enron,37K_nodes_184K_edges,4star,4,2,0.00104004,0.0187989,727044,3.86749e+07,5536.0,.9374,46.800,0.0176227,calculated
enron,37K_nodes_184K_edges,4star,4,4,0.00101329,0.0187452,727044,3.87857e+07,5488.0,.9401,23.500,0.0176227,calculated
enron,37K_nodes_184K_edges,4star,4,8,0.000994958,0.0174955,727044,4.15561e+07,5488.0,1.0072,12.500,0.0176227,calculated
enron,37K_nodes_184K_edges,4star,4,16,0.000992875,0.0185188,727044,3.92597e+07,5488.0,.9516,5.900,0.0176227,calculated
enron,37K_nodes_184K_edges,4clique,4,1,0.00148138,0.0189501,727044,3.83662e+07,5792.0,1.000,100.00,0.0189501,baseline
enron,37K_nodes_184K_edges,4clique,4,2,0.00101471,0.019312,727044,3.76473e+07,5520.0,.9812,49.000,0.0189501,calculated
enron,37K_nodes_184K_edges,4clique,4,4,0.00132308,0.0208025,727044,3.49498e+07,5552.0,.9109,22.700,0.0189501,calculated
enron,37K_nodes_184K_edges,4clique,4,8,0.00137529,0.0196339,727044,3.703e+07,5520.0,.9651,12.000,0.0189501,calculated
enron,37K_nodes_184K_edges,4clique,4,16,0.00127529,0.0211437,727044,3.43859e+07,5520.0,.8962,5.600,0.0189501,calculated
enron,37K_nodes_184K_edges,5clique,5,1,0.00115617,0.0212579,727044,3.42011e+07,5536.0,1.000,100.00,0.0212579,baseline
enron,37K_nodes_184K_edges,5clique,5,2,0.00125967,0.020267,727044,3.58734e+07,5504.0,1.0488,52.400,0.0212579,calculated
enron,37K_nodes_184K_edges,5clique,5,4,0.00129204,0.0197942,727044,3.67302e+07,5552.0,1.0739,26.800,0.0212579,calculated
enron,37K_nodes_184K_edges,5clique,5,8,0.0012435,0.0201307,727044,3.61161e+07,5568.0,1.0559,13.100,0.0212579,calculated
enron,37K_nodes_184K_edges,5clique,5,16,0.00128612,0.0201498,727044,3.60819e+07,5520.0,1.0549,6.500,0.0212579,calculated
enron,37K_nodes_184K_edges,house,4,1,0.00117263,0.0193487,727044,3.75758e+07,5648.0,1.000,100.00,0.0193487,baseline
enron,37K_nodes_184K_edges,house,4,2,0.00129317,0.0224853,727044,3.23341e+07,5488.0,.8605,43.000,0.0193487,calculated
enron,37K_nodes_184K_edges,house,4,4,0.00158608,0.0241451,727044,3.01114e+07,5536.0,.8013,20.000,0.0193487,calculated
enron,37K_nodes_184K_edges,house,4,8,0.00160371,0.0248057,727044,2.93096e+07,5536.0,.7800,9.700,0.0193487,calculated
enron,37K_nodes_184K_edges,house,4,16,0.00132183,0.025052,727044,2.90214e+07,5520.0,.7723,4.800,0.0193487,calculated
enron,37K_nodes_184K_edges,diamond,4,1,0.00164121,0.0260977,727044,2.78585e+07,5520.0,1.000,100.00,0.0260977,baseline
enron,37K_nodes_184K_edges,diamond,4,2,0.00169542,0.0338521,727044,2.14771e+07,5552.0,.7709,38.500,0.0260977,calculated
enron,37K_nodes_184K_edges,diamond,4,4,0.00173829,0.0322515,727044,2.2543e+07,5488.0,.8091,20.200,0.0260977,calculated
enron,37K_nodes_184K_edges,diamond,4,8,0.00273692,0.0364785,727044,1.99308e+07,5744.0,.7154,8.900,0.0260977,calculated
enron,37K_nodes_184K_edges,diamond,4,16,0.00171813,0.0255408,727044,2.8466e+07,5520.0,1.0218,6.300,0.0260977,calculated
dblp,317K_nodes_1M_edges,triangle,3,1,0.0207387,0.0625407,2224385,3.5567e+07,18976.0,1.000,100.00,0.0625407,baseline
dblp,317K_nodes_1M_edges,triangle,3,2,0.0104866,0.0769959,2224385,2.88897e+07,19056.0,.8122,40.600,0.0625407,calculated
dblp,317K_nodes_1M_edges,triangle,3,4,0.010225,0.0867574,2224385,2.56391e+07,19024.0,.7208,18.000,0.0625407,calculated
dblp,317K_nodes_1M_edges,triangle,3,8,0.0125532,0.0820439,2224385,2.71121e+07,19120.0,.7622,9.500,0.0625407,calculated
