Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency,Baseline_s,Notes
wiki,7K_nodes_100K_edges,triangle,3,1,0.00424267,0.0232371,608389,2.61818e+07,4272.0,1.000,100.00,0.0232371,baseline
wiki,7K_nodes_100K_edges,triangle,3,2,0.000634125,0.0230071,608389,2.64435e+07,4192.0,1.0099,50.400,0.0232371,calculated
wiki,7K_nodes_100K_edges,triangle,3,4,0.00103346,0.0233703,608389,2.60325e+07,4304.0,.9943,24.800,0.0232371,calculated
wiki,7K_nodes_100K_edges,triangle,3,8,0.00105158,0.0242767,608389,2.50606e+07,4240.0,.9571,11.900,0.0232371,calculated
wiki,7K_nodes_100K_edges,triangle,3,16,0.000728167,0.0214781,608389,2.8326e+07,4256.0,1.0818,6.700,0.0232371,calculated
wiki,7K_nodes_100K_edges,4path,4,1,0.000987708,2.81066,32230662,1.14673e+07,4688.0,1.000,100.00,2.81066,baseline
wiki,7K_nodes_100K_edges,4path,4,2,0.00100042,2.99297,32230662,1.07688e+07,4704.0,.9390,46.900,2.81066,calculated
wiki,7K_nodes_100K_edges,4path,4,4,0.000997166,2.9668,32230662,1.08638e+07,4656.0,.9473,23.600,2.81066,calculated
wiki,7K_nodes_100K_edges,4path,4,8,0.00116079,5.16886,32230662,6.23555e+06,4688.0,.5437,6.700,2.81066,calculated
wiki,7K_nodes_100K_edges,4path,4,16,0.000995959,3.12654,32230662,1.03087e+07,4704.0,.8989,5.600,2.81066,calculated
wiki,7K_nodes_100K_edges,4cycle,4,1,0.0009865,3.09847,32230662,1.04021e+07,4704.0,1.000,100.00,3.09847,baseline
wiki,7K_nodes_100K_edges,4cycle,4,2,0.00103233,3.01871,32230662,1.0677e+07,4592.0,1.0264,51.300,3.09847,calculated
wiki,7K_nodes_100K_edges,4cycle,4,4,0.000985875,3.17408,32230662,1.01543e+07,4624.0,.9761,24.400,3.09847,calculated
