Dataset,PatternCategory,QueryFile,QueryVertices,QueryEdges,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_Peak_MB,Status,Notes
wiki,simple_patterns,path.graph,4,3,1,0.00908896,31.8804,1048807458,4064.0,SUCCESS,
wiki,simple_patterns,path.graph,4,3,2,0.00901817,15.5076,1048807458,4304.0,SUCCESS,
wiki,simple_patterns,path.graph,4,3,4,0.00163975,9.47997,1048807458,4496.0,SUCCESS,
wiki,simple_patterns,path.graph,4,3,8,0.00929721,8.17664,1048807458,5216.0,SUCCESS,
wiki,simple_patterns,path.graph,4,3,16,0.00446037,6.99598,1048807458,5040.0,SUCCESS,
wiki,simple_patterns,square.graph,4,4,1,0.00191671,6.60101,23343657,4096.0,SUCCESS,
wiki,simple_patterns,square.graph,4,4,2,0.00197404,3.29838,23343657,4192.0,SUCCESS,
wiki,simple_patterns,square.graph,4,4,4,0.00196929,1.97785,23343657,4544.0,SUCCESS,
wiki,simple_patterns,square.graph,4,4,8,0.00175275,1.30067,23343657,4992.0,SUCCESS,
wiki,simple_patterns,square.graph,4,4,16,0.0017565,1.43926,23343657,5008.0,SUCCESS,
wiki,simple_patterns,triangle.graph,3,3,1,0.00193729,0.11466,608389,4000.0,SUCCESS,
wiki,simple_patterns,triangle.graph,3,3,2,0.00189904,0.0620001,608389,4080.0,SUCCESS,
wiki,simple_patterns,triangle.graph,3,3,4,0.00197083,0.035985,608389,4256.0,SUCCESS,
wiki,simple_patterns,triangle.graph,3,3,8,0.00187392,0.0227356,608389,4592.0,SUCCESS,
wiki,simple_patterns,triangle.graph,3,3,16,0.00198146,0.0243072,608389,4592.0,SUCCESS,
dblp,simple_patterns,path.graph,4,3,1,0.04797,6.3592,252447350,18864.0,SUCCESS,
dblp,simple_patterns,path.graph,4,3,2,0.0106791,3.14987,252447350,18896.0,SUCCESS,
dblp,simple_patterns,path.graph,4,3,4,0.0107232,2.00377,252447350,19312.0,SUCCESS,
dblp,simple_patterns,path.graph,4,3,8,0.0107315,1.21824,252447350,19888.0,SUCCESS,
dblp,simple_patterns,path.graph,4,3,16,0.0107752,1.11917,252447350,19888.0,SUCCESS,
dblp,simple_patterns,square.graph,4,4,1,0.0110637,1.35701,203394,18864.0,SUCCESS,
dblp,simple_patterns,square.graph,4,4,2,0.0110648,0.675426,203394,18896.0,SUCCESS,
dblp,simple_patterns,square.graph,4,4,4,0.0110324,0.33813,203394,19264.0,SUCCESS,
dblp,simple_patterns,square.graph,4,4,8,0.0100596,0.217809,203394,19824.0,SUCCESS,
dblp,simple_patterns,square.graph,4,4,16,0.010779,0.223713,203394,19856.0,SUCCESS,
dblp,simple_patterns,triangle.graph,3,3,1,0.0108914,0.269718,2224385,18656.0,SUCCESS,
dblp,simple_patterns,triangle.graph,3,3,2,0.0102915,0.132519,2224385,18784.0,SUCCESS,
dblp,simple_patterns,triangle.graph,3,3,4,0.00960179,0.0671348,2224385,18976.0,SUCCESS,
dblp,simple_patterns,triangle.graph,3,3,8,0.0108098,0.0485415,2224385,19248.0,SUCCESS,
dblp,simple_patterns,triangle.graph,3,3,16,0.0107682,0.047073,2224385,19296.0,SUCCESS,
enron,simple_patterns,path.graph,4,3,1,0.012945,24.3181,1371828020,5504.0,SUCCESS,
enron,simple_patterns,path.graph,4,3,2,0.00280083,12.1294,1371828020,5568.0,SUCCESS,
enron,simple_patterns,path.graph,4,3,4,0.00280604,6.16141,1371828020,5856.0,SUCCESS,
enron,simple_patterns,path.graph,4,3,8,0.00288783,5.42293,1371828020,6464.0,SUCCESS,
enron,simple_patterns,path.graph,4,3,16,0.00276692,4.82978,1371828020,6336.0,SUCCESS,
enron,simple_patterns,square.graph,4,4,1,0.0026055,2.77607,6758870,5392.0,SUCCESS,
enron,simple_patterns,square.graph,4,4,2,0.0028215,1.38962,6758870,5520.0,SUCCESS,
enron,simple_patterns,square.graph,4,4,4,0.00277975,0.700229,6758870,5856.0,SUCCESS,
enron,simple_patterns,square.graph,4,4,8,0.00240408,0.40201,6758870,6560.0,SUCCESS,
enron,simple_patterns,square.graph,4,4,16,0.00280617,0.405818,6758870,6336.0,SUCCESS,
enron,simple_patterns,triangle.graph,3,3,1,0.00280987,0.106275,727044,5328.0,SUCCESS,
enron,simple_patterns,triangle.graph,3,3,2,0.00280854,0.0571734,727044,5392.0,SUCCESS,
enron,simple_patterns,triangle.graph,3,3,4,0.00264021,0.0323059,727044,5520.0,SUCCESS,
enron,simple_patterns,triangle.graph,3,3,8,0.00241312,0.0186447,727044,5840.0,SUCCESS,
enron,simple_patterns,triangle.graph,3,3,16,0.00262008,0.019557,727044,5904.0,SUCCESS,
