Dataset,PatternCategory,QueryFile,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_Peak_MB,Status,Notes
wiki,small_sparse,query_sparse_8_1.graph,1,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_1.graph,4,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_1.graph,8,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_1.graph,16,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_10.graph,1,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_10.graph,4,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_10.graph,8,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_10.graph,16,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_100.graph,1,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_100.graph,4,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_100.graph,8,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_100.graph,16,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_101.graph,1,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_101.graph,4,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_101.graph,8,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_101.graph,16,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_102.graph,1,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
wiki,small_sparse,query_sparse_8_102.graph,4,N/A,N/A,N/A,0,FAILED,"Program crashed (exit code 250)"
