Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency,Baseline_s,Notes
youtube,4M_nodes_34.7M_edges,triangle,3,1,0.231004,1.73013,3056386,1.76657e+06,53040.0,1.000,100.00,1.73013,baseline
youtube,4M_nodes_34.7M_edges,triangle,3,2,0.0480048,0.882723,3056386,3.46245e+06,53152.0,1.9599,97.900,1.73013,calculated
youtube,4M_nodes_34.7M_edges,triangle,3,4,0.035794,0.466957,3056386,6.54532e+06,53248.0,3.7051,92.600,1.73013,calculated
youtube,4M_nodes_34.7M_edges,triangle,3,8,0.0276455,0.281549,3056386,1.08556e+07,53664.0,6.1450,76.800,1.73013,calculated
youtube,4M_nodes_34.7M_edges,triangle,3,16,0.0345605,0.295643,3056386,1.03381e+07,53760.0,5.8520,36.500,1.73013,calculated
youtube,4M_nodes_34.7M_edges,4cycle,4,1,0.0374468,29.7585,14960895,,61680.0,1.000,100.00,29.7585,baseline
youtube,4M_nodes_34.7M_edges,4cycle,4,2,0.172513,14.8816,14960895,1.00533e+06,61808.0,1.9996,99.900,29.7585,calculated
youtube,4M_nodes_34.7M_edges,4cycle,4,4,0.186596,8.80892,14960895,1.69838e+06,63296.0,3.3782,84.400,29.7585,calculated
youtube,4M_nodes_34.7M_edges,4cycle,4,8,0.160064,7.20132,14960895,2.07752e+06,66976.0,4.1323,51.600,29.7585,calculated
youtube,4M_nodes_34.7M_edges,4cycle,4,16,0.0339201,7.26218,14960895,2.06011e+06,69200.0,4.0977,25.600,29.7585,calculated
youtube,4M_nodes_34.7M_edges,4clique,4,1,0.0368013,4.7167,4986965,1.0573e+06,53264.0,1.000,100.00,4.7167,baseline
youtube,4M_nodes_34.7M_edges,4clique,4,2,0.0987465,2.31956,4986965,2.14996e+06,53584.0,2.0334,101.600,4.7167,calculated
youtube,4M_nodes_34.7M_edges,4clique,4,4,0.0482633,1.14856,4986965,4.34193e+06,53760.0,4.1066,102.600,4.7167,calculated
youtube,4M_nodes_34.7M_edges,4clique,4,8,0.0454295,0.723354,4986965,6.89423e+06,54560.0,6.5205,81.500,4.7167,calculated
youtube,4M_nodes_34.7M_edges,4clique,4,16,0.0293324,0.729266,4986965,6.83833e+06,54480.0,6.4677,40.400,4.7167,calculated
patents,4M_nodes_34.7M_edges,triangle,3,1,0.50585,8.82953,7515023,,163488.0,1.000,100.00,8.82953,baseline
patents,4M_nodes_34.7M_edges,triangle,3,2,0.255127,3.19103,7515023,2.35504e+06,185536.0,2.7669,138.300,8.82953,calculated
patents,4M_nodes_34.7M_edges,triangle,3,4,0.12854,1.90601,7515023,3.9428e+06,220880.0,4.6324,115.800,8.82953,calculated
patents,4M_nodes_34.7M_edges,triangle,3,8,0.118816,1.33872,7515023,5.61359e+06,221248.0,6.5955,82.400,8.82953,calculated
patents,4M_nodes_34.7M_edges,triangle,3,16,0.11021,1.37272,7515023,5.47453e+06,221200.0,6.4321,40.200,8.82953,calculated
patents,4M_nodes_34.7M_edges,4cycle,4,1,0.122903,33.3854,10503213,,220736.0,1.000,100.00,33.3854,baseline
patents,4M_nodes_34.7M_edges,4cycle,4,2,0.444133,22.0154,10503213,,212400.0,1.5164,75.800,33.3854,calculated
patents,4M_nodes_34.7M_edges,4cycle,4,4,0.353174,14.8786,10503213,,191792.0,2.2438,56.000,33.3854,calculated
patents,4M_nodes_34.7M_edges,4cycle,4,8,0.365045,11.0835,10503213,,222208.0,3.0121,37.600,33.3854,calculated
patents,4M_nodes_34.7M_edges,4cycle,4,16,0.363467,9.29012,10503213,1.13058e+06,214528.0,3.5936,22.400,33.3854,calculated
patents,4M_nodes_34.7M_edges,4clique,4,1,0.134432,14.5333,3501071,,220720.0,1.000,100.00,14.5333,baseline
patents,4M_nodes_34.7M_edges,4clique,4,2,0.446056,7.78133,3501071,,191024.0,1.8677,93.300,14.5333,calculated
patents,4M_nodes_34.7M_edges,4clique,4,4,0.225817,4.69656,3501071,,220640.0,3.0944,77.300,14.5333,calculated
patents,4M_nodes_34.7M_edges,4clique,4,8,0.112938,4.12354,3501071,,221696.0,3.5244,44.000,14.5333,calculated
patents,4M_nodes_34.7M_edges,4clique,4,16,0.118363,4.02749,3501071,,221648.0,3.6085,22.500,14.5333,calculated
lj,4M_nodes_34.7M_edges,triangle,3,1,0.779998,27.4417,177820130,6.47991e+06,306768.0,1.000,100.00,27.4417,baseline
