Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency,Baseline_s,Notes
wiki,7K_nodes_100K_edges,triangle,3,1,0.00373688,0.373126,4514137,1.20982e+07,6016.0,1.000,100.00,0.373126,baseline
wiki,7K_nodes_100K_edges,triangle,3,2,0.000543375,0.171025,4514137,2.63947e+07,6016.0,2.1817,109.000,0.373126,calculated
wiki,7K_nodes_100K_edges,triangle,3,4,0.000529958,0.175033,4514137,2.57902e+07,5968.0,2.1317,53.200,0.373126,calculated
wiki,7K_nodes_100K_edges,triangle,3,8,0.000530167,0.17509,4514137,2.57819e+07,6000.0,2.1310,26.600,0.373126,calculated
wiki,7K_nodes_100K_edges,triangle,3,16,0.000579,0.174542,4514137,2.58628e+07,6048.0,2.1377,13.300,0.373126,calculated
wiki,7K_nodes_100K_edges,4path,4,1,0.000550291,0.305434,4514137,1.47794e+07,5792.0,1.000,100.00,0.305434,baseline
wiki,7K_nodes_100K_edges,4path,4,2,0.000557375,0.192432,4514137,2.34584e+07,5856.0,1.5872,79.300,0.305434,calculated
wiki,7K_nodes_100K_edges,4path,4,4,0.000530958,0.161991,4514137,2.78666e+07,5920.0,1.8854,47.100,0.305434,calculated
wiki,7K_nodes_100K_edges,4path,4,8,0.000526167,0.165818,4514137,2.72234e+07,6016.0,1.8419,23.000,0.305434,calculated
wiki,7K_nodes_100K_edges,4path,4,16,0.000527,0.162304,4514137,2.78129e+07,5856.0,1.8818,11.700,0.305434,calculated
wiki,7K_nodes_100K_edges,4cycle,4,1,0.000528167,0.169246,4514137,2.6672e+07,6016.0,1.000,100.00,0.169246,baseline
wiki,7K_nodes_100K_edges,4cycle,4,2,0.00055225,0.169153,4514137,2.66867e+07,6016.0,1.0005,50.000,0.169246,calculated
wiki,7K_nodes_100K_edges,4cycle,4,4,0.000619584,0.160816,4514137,2.80701e+07,6000.0,1.0524,26.300,0.169246,calculated
wiki,7K_nodes_100K_edges,4cycle,4,8,0.000532333,0.175779,4514137,2.56808e+07,6000.0,.9628,12.000,0.169246,calculated
wiki,7K_nodes_100K_edges,4cycle,4,16,0.000519625,0.172119,4514137,2.62268e+07,6080.0,.9833,6.100,0.169246,calculated
wiki,7K_nodes_100K_edges,4star,4,1,0.000530792,0.174805,4514137,2.58238e+07,5920.0,1.000,100.00,0.174805,baseline
wiki,7K_nodes_100K_edges,4star,4,2,0.000541583,0.192647,4514137,2.34322e+07,5936.0,.9073,45.300,0.174805,calculated
wiki,7K_nodes_100K_edges,4star,4,4,0.000523416,0.172476,4514137,2.61726e+07,6016.0,1.0135,25.300,0.174805,calculated
wiki,7K_nodes_100K_edges,4star,4,8,0.000586458,0.174816,4514137,2.58222e+07,6048.0,.9999,12.400,0.174805,calculated
wiki,7K_nodes_100K_edges,4star,4,16,0.000522917,0.190123,4514137,2.37433e+07,6032.0,.9194,5.700,0.174805,calculated
wiki,7K_nodes_100K_edges,4clique,4,1,0.000562875,0.173101,4514137,2.60781e+07,6016.0,1.000,100.00,0.173101,baseline
wiki,7K_nodes_100K_edges,4clique,4,2,0.00051575,0.160577,4514137,2.8112e+07,6064.0,1.0779,53.800,0.173101,calculated
wiki,7K_nodes_100K_edges,4clique,4,4,0.000538541,0.173604,4514137,2.60025e+07,5984.0,.9971,24.900,0.173101,calculated
wiki,7K_nodes_100K_edges,4clique,4,8,0.00055325,0.193697,4514137,2.33052e+07,5904.0,.8936,11.100,0.173101,calculated
wiki,7K_nodes_100K_edges,4clique,4,16,0.0005415,0.194338,4514137,2.32283e+07,5920.0,.8907,5.500,0.173101,calculated
wiki,7K_nodes_100K_edges,5clique,5,1,0.000537708,0.225109,4514137,2.00531e+07,6112.0,1.000,100.00,0.225109,baseline
wiki,7K_nodes_100K_edges,5clique,5,2,0.000533125,0.209881,4514137,2.15081e+07,5984.0,1.0725,53.600,0.225109,calculated
wiki,7K_nodes_100K_edges,5clique,5,4,0.000536791,0.276409,4514137,1.63314e+07,6032.0,.8144,20.300,0.225109,calculated
wiki,7K_nodes_100K_edges,5clique,5,8,FAILED,FAILED,0,0,0,FAILED,FAILED,0.225109,test_failed
wiki,7K_nodes_100K_edges,5clique,5,16,0.000661,0.186624,4514137,2.41883e+07,6000.0,1.2062,7.500,0.225109,calculated
wiki,7K_nodes_100K_edges,house,4,1,0.000552708,0.189497,4514137,2.38216e+07,6064.0,1.000,100.00,0.189497,baseline
wiki,7K_nodes_100K_edges,house,4,2,0.000536875,0.197445,4514137,2.28627e+07,6016.0,.9597,47.900,0.189497,calculated
wiki,7K_nodes_100K_edges,house,4,4,0.000540667,0.176931,4514137,2.55135e+07,5856.0,1.0710,26.700,0.189497,calculated
wiki,7K_nodes_100K_edges,house,4,8,0.000517875,0.206219,4514137,2.189e+07,5920.0,.9189,11.400,0.189497,calculated
wiki,7K_nodes_100K_edges,house,4,16,0.000528542,0.203978,4514137,2.21305e+07,6144.0,.9290,5.800,0.189497,calculated
wiki,7K_nodes_100K_edges,diamond,4,1,0.000657334,0.204787,4514137,2.20431e+07,6032.0,1.000,100.00,0.204787,baseline
wiki,7K_nodes_100K_edges,diamond,4,2,0.000856,0.201817,4514137,2.23675e+07,6048.0,1.0147,50.700,0.204787,calculated
wiki,7K_nodes_100K_edges,diamond,4,4,0.000559041,0.209511,4514137,2.15461e+07,5856.0,.9774,24.400,0.204787,calculated
wiki,7K_nodes_100K_edges,diamond,4,8,0.00052575,0.209194,4514137,2.15787e+07,6000.0,.9789,12.200,0.204787,calculated
